"id","title","year","quarter_num","month_num","day_of_week_num","date_published","duration1","country","worldwide_gross_income","languages","production_company","day_of_week","time_period","month","duration","name_id","director_name","height","date_of_birth","genre","avg_rating","total_votes","median_rating"
"tt0800325","The Dirt",2019,1,3,6,"2019-03-22",107,"USA","","English","10th Street Entertainment","Friday","weekday","March","Standard","nm0871860","Jeff Tremaine",94,"","Comedy",7.0,31672,7
"tt0800325","The Dirt",2019,1,3,6,"2019-03-22",107,"USA","","English","10th Street Entertainment","Friday","weekday","March","Standard","nm0871860","Jeff Tremaine",94,"","Drama",7.0,31672,7
"tt0837563","Pet Sematary",2019,2,4,5,"2019-04-04",101,"USA, Canada","$ 112399944","English","Paramount Pictures","Thursday","weekday","April","Standard","nm1552637","Dennis Widmyer",0,"","Horror",5.8,61560,6
"tt0837563","Pet Sematary",2019,2,4,5,"2019-04-04",101,"USA, Canada","$ 112399944","English","Paramount Pictures","Thursday","weekday","April","Standard","nm1552637","Dennis Widmyer",0,"","Mystery",5.8,61560,6
"tt0837563","Pet Sematary",2019,2,4,5,"2019-04-04",101,"USA, Canada","$ 112399944","English","Paramount Pictures","Thursday","weekday","April","Standard","nm1552637","Dennis Widmyer",0,"","Thriller",5.8,61560,6
"tt0837563","Pet Sematary",2019,2,4,5,"2019-04-04",101,"USA, Canada","$ 112399944","English","Paramount Pictures","Thursday","weekday","April","Standard","nm1556116","Kevin Kölsch",0,"","Horror",5.8,61560,6
"tt0837563","Pet Sematary",2019,2,4,5,"2019-04-04",101,"USA, Canada","$ 112399944","English","Paramount Pictures","Thursday","weekday","April","Standard","nm1556116","Kevin Kölsch",0,"","Mystery",5.8,61560,6
"tt0837563","Pet Sematary",2019,2,4,5,"2019-04-04",101,"USA, Canada","$ 112399944","English","Paramount Pictures","Thursday","weekday","April","Standard","nm1556116","Kevin Kölsch",0,"","Thriller",5.8,61560,6
"tt0862930","Dukun",2018,2,4,5,"2018-04-05",108,"Malaysia","","Hokkien, Malay","Astro Shaw","Thursday","weekday","April","Standard","nm1012100","Dain Said",0,"","Horror",6.9,339,8
"tt0862930","Dukun",2018,2,4,5,"2018-04-05",108,"Malaysia","","Hokkien, Malay","Astro Shaw","Thursday","weekday","April","Standard","nm1012100","Dain Said",0,"","Thriller",6.9,339,8
"tt0926132","Road to Red",2018,1,1,2,"2018-01-01",120,"USA, Portugal","","English","Worldwide Artists","Monday","weekday","January","Standard","nm1937564","Tito da Costa",0,"","Action",6.7,371,7
"tt0926132","Road to Red",2018,1,1,2,"2018-01-01",120,"USA, Portugal","","English","Worldwide Artists","Monday","weekday","January","Standard","nm1937564","Tito da Costa",0,"","Adventure",6.7,371,7
"tt0926132","Road to Red",2018,1,1,2,"2018-01-01",120,"USA, Portugal","","English","Worldwide Artists","Monday","weekday","January","Standard","nm1937564","Tito da Costa",0,"","Horror",6.7,371,7
"tt0972544","Back Roads",2018,4,12,6,"2018-12-07",101,"USA","","English","Upturn Productions","Friday","weekday","December","Standard","nm1641117","Alex Pettyfer",84,"1990-04-10","Crime",7.0,3542,8
"tt0972544","Back Roads",2018,4,12,6,"2018-12-07",101,"USA","","English","Upturn Productions","Friday","weekday","December","Standard","nm1641117","Alex Pettyfer",84,"1990-04-10","Drama",7.0,3542,8
"tt0972544","Back Roads",2018,4,12,6,"2018-12-07",101,"USA","","English","Upturn Productions","Friday","weekday","December","Standard","nm1641117","Alex Pettyfer",84,"1990-04-10","Thriller",7.0,3542,8
"tt0974015","Justice League",2017,4,11,6,"2017-11-17",120,"USA, Canada, UK","$ 657924295","English, Irish, Russian, Icelandic","Warner Bros.","Friday","weekday","November","Standard","nm0811583","Zack Snyder",94,"1966-03-01","Action",6.4,345770,7
"tt0974015","Justice League",2017,4,11,6,"2017-11-17",120,"USA, Canada, UK","$ 657924295","English, Irish, Russian, Icelandic","Warner Bros.","Friday","weekday","November","Standard","nm0811583","Zack Snyder",94,"1966-03-01","Adventure",6.4,345770,7
"tt0974015","Justice League",2017,4,11,6,"2017-11-17",120,"USA, Canada, UK","$ 657924295","English, Irish, Russian, Icelandic","Warner Bros.","Friday","weekday","November","Standard","nm0811583","Zack Snyder",94,"1966-03-01","Fantasy",6.4,345770,7
"tt10006270","Jagtsæson",2019,4,10,5,"2019-10-03",92,"Denmark","","Danish","Nordisk Film Production","Thursday","weekday","October","Standard","nm0363087","Tilde Harkamp",0,"1969-11-12","Comedy",5.5,115,6
"tt10008784","Bull",2019,4,11,2,"2019-11-11",105,"USA","","English","Bert Marcus Productions","Monday","weekday","November","Standard","nm2502502","Annie Silverstein",0,"","Drama",8.7,1238,9
"tt10012964","IRIS: A Space Opera by Justice",2019,3,8,6,"2019-08-30",63,"France","$ 29080","English","Because","Friday","weekday","August","Short ","nm0155127","André Chemetoff",0,"","Others",7.9,179,8
"tt10016532","Ispade Rajavum Idhaya Raniyum",2019,1,3,5,"2019-03-14",141,"India","$ 9272","Tamil","Madhav Media","Thursday","weekday","March","Long","nm6352742","Ranjit Jeyakodi",0,"","Drama",6.4,269,7
"tt10016532","Ispade Rajavum Idhaya Raniyum",2019,1,3,5,"2019-03-14",141,"India","$ 9272","Tamil","Madhav Media","Thursday","weekday","March","Long","nm6352742","Ranjit Jeyakodi",0,"","Romance",6.4,269,7
"tt10039468","My Stupid Boss 2",2019,1,3,5,"2019-03-28",96,"Indonesia","","Indonesian, Malay, English, Vietnamese","Falcon Pictures","Thursday","weekday","March","Standard","nm1345541","Upi Avianto",0,"","Comedy",6.8,185,7
